Combo,Comp
1:1,25
1:2,50
1:3,75
1:4,25
1:5,50
1:6,50
1:7,50
1:8,10
1:9,100
2:1,50
2:2,25
2:3,25
2:4,50
2:5,50
2:6,50
2:7,10
2:8,100
2:9,25
3:1,75
3:2,25
3:3,25
3:4,25
3:5,75
3:6,10
3:7,100
3:8,25
3:9,50
4:1,25
4:2,50
4:3,25
4:4,25
4:5,10
4:6,100
4:7,75
4:8,50
4:9,25
5:1,50
5:2,50
5:3,75
5:4,10
5:5,100
5:6,25
5:7,50
5:8,25
5:9,25
6:1,50
6:2,50
6:3,10
6:4,100
6:5,25
6:6,25
6:7,50
6:8,25
6:9,25
7:1,50
7:2,10
7:3,100
7:4,75
7:5,50
7:6,25
7:7,25
7:8,25
7:9,75
8:1,10
8:2,100
8:3,25
8:4,50
8:5,25
8:6,75
8:7,25
8:8,25
8:9,75
9:1,100
9:2,25
9:3,50
9:4,25
9:5,25
9:6,50
9:7,75
9:8,10
9:9,25
